project_name,project_url,user_name
git,git@github.com:git/git.git,git
the_silver_searcher,git@github.com:ggreer/the_silver_searcher.git,ggreer
How-to-Make-a-Computer-Operating-System,git@github.com:SamyPesse/How-to-Make-a-Computer-Operating-System.git,SamyPesse
FFmpeg,git@github.com:FFmpeg/FFmpeg.git,FFmpeg
obs-studio,git@github.com:obsproject/obs-studio.git,obsproject
nuklear,git@github.com:vurtun/nuklear.git,vurtun
radare2,git@github.com:radareorg/radare2.git,radareorg
stb,git@github.com:nothings/stb.git,nothings
rufus,git@github.com:pbatard/rufus.git,pbatard
libui,git@github.com:andlabs/libui.git,andlabs
phpredis,git@github.com:phpredis/phpredis.git,phpredis
libsodium,git@github.com:jedisct1/libsodium.git,jedisct1
Craft,git@github.com:fogleman/Craft.git,fogleman
reactos,git@github.com:reactos/reactos.git,reactos
hashcat,git@github.com:hashcat/hashcat.git,hashcat
ccv,git@github.com:liuliu/ccv.git,liuliu
Mirai-Source-Code,git@github.com:jgamblin/Mirai-Source-Code.git,jgamblin
systemd,git@github.com:systemd/systemd.git,systemd
glfw,git@github.com:glfw/glfw.git,glfw
xLua,git@github.com:Tencent/xLua.git,Tencent
hiredis,git@github.com:redis/hiredis.git,redis
Cinder,git@github.com:cinder/Cinder.git,cinder
capstone,git@github.com:aquynh/capstone.git,aquynh
cJSON,git@github.com:DaveGamble/cJSON.git,DaveGamble
coturn,git@github.com:coturn/coturn.git,coturn
wren,git@github.com:wren-lang/wren.git,wren-lang
libvips,git@github.com:libvips/libvips.git,libvips
FreeRDP,git@github.com:FreeRDP/FreeRDP.git,FreeRDP
swift-corelibs-foundation,git@github.com:apple/swift-corelibs-foundation.git,apple
s2n,git@github.com:awslabs/s2n.git,awslabs
librdkafka,git@github.com:edenhill/librdkafka.git,edenhill
cJSON,git@github.com:DaveGamble/cJSON.git,DaveGamble
coturn,git@github.com:coturn/coturn.git,coturn
swift-corelibs-foundation,git@github.com:apple/swift-corelibs-foundation.git,apple
cmus,git@github.com:cmus/cmus.git,cmus
xxHash,git@github.com:Cyan4973/xxHash.git,Cyan4973
vlmcsd,git@github.com:Wind4/vlmcsd.git,Wind4
dynomite,git@github.com:Netflix/dynomite.git,Netflix
kore,git@github.com:jorisvink/kore.git,jorisvink
ChinaDNS,git@github.com:shadowsocks/ChinaDNS.git,shadowsocks
ctags,git@github.com:universal-ctags/ctags.git,universal-ctags
dynomite,git@github.com:Netflix/dynomite.git,Netflix
kore,git@github.com:jorisvink/kore.git,jorisvink
ChinaDNS,git@github.com:shadowsocks/ChinaDNS.git,shadowsocks
vis,git@github.com:martanne/vis.git,martanne
tbox,git@github.com:tboox/tbox.git,tboox
dokany,git@github.com:dokan-dev/dokany.git,dokan-dev
gravity,git@github.com:marcobambini/gravity.git,marcobambini
RIOT,git@github.com:RIOT-OS/RIOT.git,RIOT-OS
OnlinePythonTutor,git@github.com:pgbovine/OnlinePythonTutor.git,pgbovine
naxsi,git@github.com:nbs-system/naxsi.git,nbs-system
dynomite,git@github.com:Netflix/dynomite.git,Netflix
JohnTheRipper,git@github.com:magnumripper/JohnTheRipper.git,magnumripper
kore,git@github.com:jorisvink/kore.git,jorisvink
ChinaDNS,git@github.com:shadowsocks/ChinaDNS.git,shadowsocks
vis,git@github.com:martanne/vis.git,martanne
tbox,git@github.com:tboox/tbox.git,tboox
dokany,git@github.com:dokan-dev/dokany.git,dokan-dev
contiki,git@github.com:contiki-os/contiki.git,contiki-os
gravity,git@github.com:marcobambini/gravity.git,marcobambini
uthash,git@github.com:troydhanson/uthash.git,troydhanson
checkedc,git@github.com:microsoft/checkedc.git,microsoft
statsite,git@github.com:statsite/statsite.git,statsite
fluent-bit,git@github.com:fluent/fluent-bit.git,fluent
tvheadend,git@github.com:tvheadend/tvheadend.git,tvheadend
nanopb,git@github.com:nanopb/nanopb.git,nanopb
lightning,git@github.com:ElementsProject/lightning.git,ElementsProject
C,git@github.com:Mzzopublic/C.git,Mzzopublic
cpu_features,git@github.com:google/cpu_features.git,google
acl,git@github.com:acl-dev/acl.git,acl-dev
collectd,git@github.com:collectd/collectd.git,collectd
libmill,git@github.com:sustrik/libmill.git,sustrik
stellar-core,git@github.com:stellar/stellar-core.git,stellar
cute_headers,git@github.com:RandyGaul/cute_headers.git,RandyGaul
libusb,git@github.com:libusb/libusb.git,libusb
reading-code-of-nginx-1.9.2,git@github.com:y123456yz/reading-code-of-nginx-1.9.2.git,y123456yz
bjoern,git@github.com:jonashaag/bjoern.git,jonashaag
cleanflight,git@github.com:cleanflight/cleanflight.git,cleanflight
hexchat,git@github.com:hexchat/hexchat.git,hexchat
acwj,git@github.com:DoctorWkt/acwj.git,DoctorWkt
sslsplit,git@github.com:droe/sslsplit.git,droe
pspg,git@github.com:okbob/pspg.git,okbob
facil.io,git@github.com:boazsegev/facil.io.git,boazsegev
greatest,git@github.com:silentbicycle/greatest.git,silentbicycle
CMSIS_5,git@github.com:ARM-software/CMSIS_5.git,ARM-software
